city,pop_2018_est,place
China Lake Acres,1947,13157
Half Moon Bay,12706,31708
Los Banos,38119,44028
Atherton,7185,03092
Daly City,106638,17918
Coulterville,38,16644
Avila Beach,1273,03330
University of California-Davis,7379,81302
Westmorland,2643,84606
Clayton,11967,13882
Concord,128758,16000
Danville,44417,17988
Discovery Bay,15981,19339
Pacheco,4355,54764
San Ramon,75384,68378
Amador City,167,01514
Sutter Creek,2538,77392
Clio,65,14106
C-Road,97,17267
East Shore,169,21138
Greenhorn,254,31029
Anderson,10265,02042
Redding,91327,59920
Diamond Springs,11989,19220
Placerville,10860,57540
Pollock Pines,6905,58030
Jackson,4694,36980
Plymouth,894,57834
Bishop,3765,06798
Darwin,56,18030
Lone Pine,1837,42580
Mesa,317,47013
Caribou,0,11166
Chester,2116,12930
Hamilton Branch,612,31883
Lake Davis,65,39483
Spring Garden,13,73654
Whitehawk,66,85086
Manteca,77073,45484
Ripon,15367,61026
Taft Mosswood,951,77595
Raisin City,389,59290
San Jose,1026658,68000
San Martin,7010,68238
San Francisco,870044,67000
Santa Clara,126209,69084
Bonita,13324,07414
Harbison Canyon,4223,32044
Denair,5131,18856
Oakdale,22599,52694
Los Angeles,3959657,44000
Palos Verdes Estates,13523,55380
Rolling Hills Estates,8187,62644
Stanton,38509,73962
Richgrove,2611,60606
Laguna Beach,23147,39178
Placentia,52049,57526
Fairhaven,145,23196
Fort Dick,830,25086
Hoopa,3573,34540
Little Valley,18,41908
Pala,1143,55058
Westside,182,84863
Madison,563,45064
Mad River,432,45092
Manchester,199,45386
Manila,834,45414
Marin City,3173,45820
Martell,300,46100
Matheny,1134,46223
Mather,4408,46226
March ARB,1150,45680
Maxwell,1096,46338
Mayfair,5091,46400
Meadowbrook,3033,46520
Willows,6022,85684
Rosemead,54417,62896
South San Gabriel,8643,73276
Aptos,5797,02378
Boulder Creek,4712,07652
Auburn,13946,03204
Dollar Point,786,19455
Ducor,651,20032
Exeter,10505,23126
Palm Desert,52124,55184
Calipatria,7458,09878
Palo Verde,85,55422
Seeley,1699,70798
Bonadelle Ranchos-Madera Ranchos,8971,07379
Ione,7439,36672
Independence,542,36350
Olancha,213,53490
Pearsonville,29,56294
Tecopa,146,78050
Cromberg,253,17288
Graeagle,596,30560
Indian Falls,54,36364
Plumas Eureka,333,57828
Prattville,28,58618
Quincy,1895,59080
South Dos Palos,1682,72954
Jenner,32,37274
Johnstonville,1185,37484
Junction City,688,37596
June Lake,508,37624
Kelly Ridge,2679,38024
Kennedy Meadows,20,38076
Kenwood,800,38156
Big Bend,96,06475
Palo Cedro,1151,55296
Cobb,920,14302
Myrtletown,5290,50188
Pine Hills,3146,57204
Weaverville,3240,83794
Julian,930,37582
Pine Valley,1669,57260
Ramona,20260,59346
Santee,57615,70224
Vista,100108,82996
Winter Gardens,23088,85992
El Verano,3424,22510
Kentfield,6930,38114
Taft,9307,77574
Santa Clarita,209478,69088
Las Lomas,3755,40592
Culver City,39295,17568
Mayflower Village,5822,46436
Montebello,63099,48816
Pico Rivera,63432,56924
Signal Hill,11538,71876
South Whittier,60096,73430
Walnut Park,16034,83402
Westlake Village,8424,84438
Willow Creek,1539,85642
Nice,2393,51294
Upper Lake,1050,81358
Fortuna,12117,25296
Trinidad,272,80448
Westhaven-Moonstone,1084,84385
Bombay Beach,415,07372
Niland,515,51392
North Tustin,24736,52379
Orosi,7441,54372
Rancho Cordova,72056,59444
Lamont,15222,40088
Pine Mountain Club,1803,57240
Norco,26569,51560
Riverside,323935,62000
Temecula,112230,78120
Gustine,5774,31568
Pacifica,39065,54806
Dustin Acres,590,20284
Ford City,4365,24764
Kernville,1007,38310
Lower Lake,1595,44350
Lagunitas-Forest Knolls,1504,39283
Larkspur,12375,40438
Tomales,253,78890
Farmington,89,23630
Mission Viejo,96124,48256
Amesti,2832,01651
Corralitos,2381,16434
Lodi,65006,42202
Freedom,3719,25576
Scotts Valley,11900,70588
Pleasanton,80847,57792
Covelo,1165,16728
Ukiah,15946,81134
Atwater,29197,03162
Oakland,421042,53000
Piedmont,11308,56938
Del Rey,1498,18674
Fowler,6364,25436
Kingsburg,11839,38562
Orange Cove,9564,54008
Burbank,104275,08954
Desert View Highlands,2496,19052
East Los Angeles,119827,20802
East Pasadena,5971,20984
Kingvale,73,38604
Knights Landing,869,38800
Keswick,430,38352
Ladera,1465,39094
Ladera Ranch,30288,39114
La Honda,711,39318
Lake California,3281,39460
Lake City,59,39472
Lake Don Pedro,1030,39484
Lakehead,617,39514
Lake Hughes,587,39556
Lake Mathews,6848,39645
Lake Riverside,1049,39715
Lake Sherwood,1835,39735
La Selva Beach,2917,40508
Las Flores (Orange County),5877,40526
Las Flores (Tehama County),294,40536
La Vina,239,40872
Lee Vining,89,40998
Bethel Island,2010,06210
Desert Hot Springs,28430,18996
Friant,548,27014
Sunol,962,77042
Union City,74601,81204
Caruthers,2773,11614
Riverdale,3625,61096
Selma,24598,70882
Davis,67988,18100
Sierra Brooks,299,71774
Sierra City,152,71778
Sierra Village,330,71834
Sierraville,103,71848
Silverado Resort,937,71927
Silver City,0,71932
Silver Lakes,5966,71964
Sisquoc,148,72086
Sky Valley,2430,72156
Sleepy Hollow,2200,72184
Smartsville,163,72282
Smith Corner,664,72338
Smith River,632,72380
Snelling,101,72408
Soda Bay,941,72478
Soda Springs,21,72492
South Monrovia Island,7192,73167
Spaulding,110,73554
Spring Valley (Lake County),1081,73690
Spring Valley (San Diego County),31591,73696
Spring Valley Lake,7744,73700
Stevenson Ranch,19364,74130
Stevinson,331,74144
Stirling City,307,74186
Stonyford,136,75154
Strawberry (Marin County),5759,75315
Strawberry (Tuolumne County),5,75322
Sugarloaf Mountain Park,0,75588
Sugarloaf Saw Mill,0,75592
Sugarloaf Village,10,75596
Sultana,1030,75672
Sunnyside,4451,75994
Sunny Slopes,80,76040
Sun Village,13516,77308
Swall Meadows,218,77430
Tahoma,867,77728
Tarpey Village,3390,77960
Terminous,411,78232
Hidden Meadows,3386,33532
Jamul,5384,37120
La Mesa,59562,40004
Aromas,2553,02812
Boronda,1066,07578
Gonzales,8402,30392
Marina,21608,45778
Pajaro,3561,55044
Vacaville,97943,81554
Coto de Caza,14931,16580
La Palma,15733,40256
Newport Beach,86280,51182
San Clemente,65045,65084
Loma Rica,3088,42412
Berkeley,120926,06000
Fremont,233083,26000
Auberry,2476,03190
Firebaugh,8295,24134
Squaw Valley,3449,73794
Avocado Heights,15903,03344
Bellflower,77529,04982
Calabasas,24077,09598
Arden-Arcade,100548,02553
Citrus Heights,87061,13588
Gold River,7523,30345
Wilton,5307,85880
Mesa Vista,278,47086
Cayucos,2692,12132
Templeton,7938,78162
Dunsmuir,1589,20242
Greenview,283,31134
Macdoel,105,44812
Weed,2677,83850
Cambrian Park,3094,10088
Campbell,42470,10345
Cupertino,60614,17610
Gilroy,55525,29504
Larkfield-Wikiup,8926,40426
Chino Hills,79298,13214
Fontana,208943,24680
Rancho Cucamonga,175679,59451
Upland,76382,81344
Mono Vista,3504,48641
East Quincy,2622,21026
Johnsville,0,37512
Keddie,41,37904
Madera Acres,9946,45050
Parkwood,1853,55842
Mokelumne Hill,637,48480
Rail Road Flat,283,59220
East Sonora,2189,21188
North Edwards,944,51812
Fellows,49,23812
Maricopa,1175,45736
Ridgecrest,28736,60704
Tupman,186,80784
Weldon,2181,83948
Meiners Oaks,3508,46702
Oak View,4720,53182
Piru,2019,57372
Blue Lake,981,07162
Cutten,3029,17722
Ferndale,1365,23910
Hydesville,978,36126
Antioch,110730,02252
Clyde,676,14232
Kensington,5415,38086
Knightsen,1500,38772
Orinda,19431,54232
Lake Isabella,3454,39570
Bear Valley (Mariposa County),203,04730
Bella Vista,2614,04926
Big Creek,188,06518
Big Lagoon,118,06567
Blackhawk,9860,06928
Blacklake,892,06935
Boonville,852,07512
Bloomfield,387,07036
Citrus,10771,13560
Grenada,477,31246
Norwalk,105886,52526
Taft Heights,2424,77588
Biola,1451,06728
Santa Cruz,64273,69112
Ceres,47975,12524
Hawaiian Gardens,14411,32506
La Puente,40268,40340
Monterey Park,60792,48914
Paramount,54776,55618
San Fernando,24585,66140
Santa Monica,92078,70000
South El Monte,20727,72996
South Gate,95103,73080
South Pasadena,25824,73220
West Covina,107242,84200
West Hollywood,36384,84410
Garden Grove,174010,29000
Laguna Niguel,65652,39248
Yorba Linda,67815,86832
Challenge-Brownsville,864,12612
Linda,19314,41572
Wheatland,3747,85012
Santa Maria,105483,69196
Buellton,5092,08758
Guadalupe,7350,31414
Santa Barbara,91325,69070
Fall River Mills,273,23532
French Gulch,441,26056
Montgomery Creek,61,48998
Shasta Lake,10142,71225
Vincent,17008,82815
Temescal Valley,26709,78138
Whitewater,976,85208
Pleasure Point,6277,57825
Contra Costa Centre,6497,16090
Esparto,3783,22846
Aptos Hills-Larkin Valley,1993,02382
Ben Lomond,7071,05332
Capitola,10135,11040
Lanare,234,40116
Laton,2166,40746
Mendota,11393,46828
Tranquillity,839,80266
Bell Gardens,42641,04996
Beverly Hills,34362,06308
Covina,48403,16742
Del Aire,10065,18352
Downey,112901,19766
Glendale,200372,30000
