park_name,county,park_identifier,park_address,fire_authority,jurisdiction,mh_spaces,rv_lots_wdrains,rv_lots_wo_drains,operated_by,street_add,city,phone_num,state,zip
VAN SETTEN MHP,LOS ANGELES,19-1015-MP,"9045 E Alondra Blvd, Bellflower, Ca 90706, (310) 866-3334","COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",8.0,0.0,0.0,"VANSETTEN, LOLA, 9621 CLOVERWOOD ST, BELLFLOWER, CA 90706",9045 E Alondra Blvd,Bellflower, (310) 866-3334,CA,90706
BALDWIN MP,LOS ANGELES,19-1016-MP,"13972 E Francisquito Ave, Baldwin Park, Ca 91706, (818) 338-9318","COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",29.0,0.0,0.0,"DENNIS EICHE ENT, 24040 CAMINO DEL AVION PMB 293, MONARCH BEACH, CA 92629",13972 E Francisquito Ave,Baldwin Park, (818) 338-9318,CA,91706
ARBOR MOBILE VILLAGE,LOS ANGELES,19-1017-MP,"300 E Arbor St, Long Beach, Ca 90805, (562) 422-3666","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",64.0,0.0,0.0,"AGRE ROYCE HOLDINGS LLC, 4742 N 24TH ST SUITE # 325, PHOENIX, AZ 85016",300 E Arbor St,Long Beach, (562) 422-3666,CA,90805
BELMONT SHORES MOBILE ESTATES,LOS ANGELES,19-1019-MP,"6230 Marina View Drive, Long Beach, Ca 90803, (562) 431-4132","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",347.0,0.0,0.0,"WESSEX INVESTMENTS LLC, 2716 OCEAN PARK BLVD SUITE # 2025, SANTA MONICA, CA 90405",6230 Marina View Drive,Long Beach, (562) 431-4132,CA,90803
ROYAL OAKS MHP,LOS ANGELES,19-1020-MP,"18145 W Soledad Canyon Rd, Santa Clarita, Ca 91351, (805) 252-1626","COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",87.0,0.0,0.0,"WEISS, HENRY, 18145 SOLEDAD CANYON RD, CANYON COUNTRY, CA 91351",18145 W Soledad Canyon Rd,Santa Clarita, (805) 252-1626,CA,91351
CREST MOBILE MANOR,LOS ANGELES,19-1023-MP,"3727 N Equation Rd, Pomona, Ca 91767, (909) 593-5031","COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",141.0,0.0,0.0,"WORLEY, RICHARD, 625 ESPLANADE #53, REDONDO BEACH, CA 90277",3727 N Equation Rd,Pomona, (909) 593-5031,CA,91767
HARBOR TP,LOS ANGELES,19-1024-MP,"22503 Meyler St, Torrance, Ca 90502, (909) 593-5031","COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",34.0,0.0,0.0,"DZIKOWSKI, STANISLAW, PO BOX 1265, LOMITA, CA 90717",22503 Meyler St,Torrance, (909) 593-5031,CA,90502
SANTA FE MOBILE HOME PARK,LOS ANGELES,19-1026-MP,"10484 Valley Blvd, El Monte, Ca 91731, (626) 625-5977","COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",93.0,0.0,0.0,"JDH CAPITAL LLC, 22231 MULHOLLAND HWY #101, CALABASAS, CA 91302",10484 Valley Blvd,El Monte, (626) 625-5977,CA,91731
POMONA ISLANDER,LOS ANGELES,19-1027-MP,"3667 W Valley Blvd, Pomona, Ca 91768, (909) 595-2121","COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",227.0,0.0,0.0,"POMONA ISLANDER LP, 478 NEPTUNE, ENCINITAS, CA 92024",3667 W Valley Blvd,Pomona, (909) 595-2121,CA,91768
BEST TRAILER PARK,LOS ANGELES,19-1029-MP,"5602 Long Beach Blvd, Long Beach, Ca 90805, (562) 422-5757","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",169.0,7.0,0.0,"DZIKOWSKI INVESTMENTS LLC, 33175 TEMECULA PKWY, STE A #343, TEMECULA, CA 92592",5602 Long Beach Blvd,Long Beach, (562) 422-5757,CA,90805
LAS BRISAS I,LOS ANGELES,19-1030-MP,"400 E Arbor Street, Long Beach, Ca 90805, (562) 423-5267","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",80.0,0.0,0.0,"SHEPHERD, DONALD, 400 EAST ARBOR STREET ATTN:OFFICE, LONG BEACH, CA 90805",400 E Arbor Street,Long Beach, (562) 423-5267,CA,90805
STAR MOBILEHOMES,LOS ANGELES,19-1033-MP,"356 W Redondo Beach Blvd, Gardena, Ca 90248, (310) 323-3563","COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",30.0,0.0,0.0,"KAJIKAWA, SADAO, 3601 MICHELLE DR, TORRANCE, CA 90503",356 W Redondo Beach Blvd,Gardena, (310) 323-3563,CA,90248
GOLDEN STATE MOBILE HOME PARK,LOS ANGELES,19-1035-MP,"16601 S Garfield Ave, Paramount, Ca 90723, (562) 634-2109","COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",108.0,0.0,0.0,"GOLDEN STATE MHP, LLC, 2723 W COAST HWY, NEWPORT BEACH, CA 92663",16601 S Garfield Ave,Paramount, (562) 634-2109,CA,90723
WESTLAND TRAILER CITY,LOS ANGELES,19-1036-MP,"6665 Long Beach Blvd, Long Beach, Ca 90815, (310) 639-7130","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",106.0,99.0,0.0,"ALEVY WESTLAND MHP LLC, 520 W WILLOW ST, LONG BEACH, CA 90806",6665 Long Beach Blvd,Long Beach, (310) 639-7130,CA,90815
HI LEA VILLAGE MOBILE HOME PARK,LOS ANGELES,19-1037-MP,"1560 S Otterbein, Rowland Heights, Ca 91748, (626) 964-4515","COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",188.0,0.0,0.0,"STODDARD, RICHARD, 478 NEPTUNE AVE, ENCINITAS, CA 92024",1560 S Otterbein,Rowland Heights, (626) 964-4515,CA,91748
COAST MHP,LOS ANGELES,19-1038-MP,"24815 S Normandie, Harbor City, Ca 90710, (310) 325-1500","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",95.0,0.0,0.0,"DZIKOWSKI, TED, 33175 TEMECULA PKWY STE A #343, TEMECULA, CA 92592",24815 S Normandie,Harbor City, (310) 325-1500,CA,90710
CHARTER OAK MOBILE ESTATES,LOS ANGELES,19-1040-MP,"801 W Covina Blvd, San Dimas, Ca 91773, (909) 599-2939","COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",185.0,0.0,0.0,"CITY OF SAN DIMAS, 245 EAST BONITA AVENUE, SAN DIMAS, CA 91773",801 W Covina Blvd,San Dimas, (909) 599-2939,CA,91773
LILY OF THE VALLEY,LOS ANGELES,19-1041-MP,"29021 Bouquet Canyon Rd, Saugus, Ca 91350, (805) 296-8540","COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",181.0,0.0,0.0,"BOGGS, KENDALL, AND STEELE, 80 SO LAKE AVE 719, PASADENA, CA 91101",29021 Bouquet Canyon Rd,Saugus, (805) 296-8540,CA,91350
ALLSTATE TRAILER VILLAGE CT,LOS ANGELES,19-1042-MP,"1925 Crenshaw Blvd, Torrance, Ca 90501, (805) 296-8540","CITY OF TORRANCE FIRE DEPARTMENT, 3031 TORRANCE BLVD., TORRANCE, CA 90503","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",27.0,0.0,0.0,"FRANICH, PATRICIA, 404 PASEO DEL MAR, PALOS VERDES ESTATES, CA 90274",1925 Crenshaw Blvd,Torrance, (805) 296-8540,CA,90501
SKYLARK TORRANCE MHP,LOS ANGELES,19-1044-MP,"1820 Torrance Blvd, Torrance, Ca 90501, (310) 328-6381","CITY OF TORRANCE FIRE DEPARTMENT, 3031 TORRANCE BLVD., TORRANCE, CA 90503","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",33.0,0.0,0.0,"STOCKTON, DOLORES, 1875 CENTURY PARK EAST #600, LOS ANGELES, CA 90067",1820 Torrance Blvd,Torrance, (310) 328-6381,CA,90501
KNOLLS LODGE,LOS ANGELES,19-1047-MP,"23701 Western Ave, Torrance, Ca 90501, (310) 326-1000","CITY OF TORRANCE FIRE DEPARTMENT, 3031 TORRANCE BLVD., TORRANCE, CA 90503","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",257.0,0.0,0.0,"KNOLLS LODGE, LP, KNOLLS LODGE, LP 320 N. PARK VISTA ST., ANAHEIM, CA 92806",23701 Western Ave,Torrance, (310) 326-1000,CA,90501
SKYLINE MP,LOS ANGELES,19-1050-MP,"2550 Pacific Coast Hwy, Torrance, Ca 90505, (805) 296-8540","CITY OF TORRANCE FIRE DEPARTMENT, 3031 TORRANCE BLVD., TORRANCE, CA 90503","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",265.0,0.0,0.0,"SKYLINE MOBILE PARK, GENERAL PARTNERSHIP, 2550 PACIFIC COAST HWY, TORRANCE, CA 90505",2550 Pacific Coast Hwy,Torrance, (805) 296-8540,CA,90505
SOUTHWOOD MOBILE ESTATES,LOS ANGELES,19-1051-MP,"20550 S Earl St, Torrance, Ca 90503, (310) 371-5444","CITY OF TORRANCE FIRE DEPARTMENT, 3031 TORRANCE BLVD., TORRANCE, CA 90503","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",48.0,0.0,0.0,"COMMISO, RALPH, 20550 S EARL ST #13, TORRANCE, CA 90503",20550 S Earl St,Torrance, (310) 371-5444,CA,90503
SOUTH BAY MOBILE ESTATES,LOS ANGELES,19-1052-MP,"18801 Hawthorne Blvd, Torrance, Ca 90503, (310) 518-5220","CITY OF TORRANCE FIRE DEPARTMENT, 3031 TORRANCE BLVD., TORRANCE, CA 90503","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",99.0,0.0,0.0,"18801 HAWTHORNE, LLC, 2716 OCEAN PARK BLVD., #2014, SANTA MONICA, CA 90405",18801 Hawthorne Blvd,Torrance, (310) 518-5220,CA,90503
TORRANCE MOBILEHOME PARK,LOS ANGELES,19-1053-MP,"1900   Artesia Blvd, Torrance, Ca 90504, (310) 329-1674","CITY OF TORRANCE FIRE DEPARTMENT, 3031 TORRANCE BLVD., TORRANCE, CA 90503","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",66.0,0.0,0.0,"TORRANCE MHP, 2141 E. BROADWAY RD #105, TEMPE, AZ 85282",1900   Artesia Blvd,Torrance, (310) 329-1674,CA,90504
DEL AMO TP,LOS ANGELES,19-1058-MP,"4895 Oregon Ave, Long Beach, Ca 90805, (310) 422-2884","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",146.0,0.0,0.0,"LES FRAME ENTERPIRSES, INC, 1635 AVIATION BLVD, REDONDO BEACH, CA 90278",4895 Oregon Ave,Long Beach, (310) 422-2884,CA,90805
SHADY ACRES MHP #315,LOS ANGELES,19-1059-MP,"5533 Long Beach Blvd, Long Beach, Ca 90805, (562) 423-0540","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",107.0,0.0,0.0,"MOBILE HOME GROUP II, LP, 4900 SANTA ANITA AVE SUITE # 2C, EL MONTE, CA 91731",5533 Long Beach Blvd,Long Beach, (562) 423-0540,CA,90805
WAYSIDE TP,LOS ANGELES,19-1060-MP,"234 E 47Th St, Long Beach, Ca 90805, (310) 428-0633","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",50.0,0.0,0.0,"DIVERSIFIED INCOME PROPERTIES L.P, 44104 ROYAL TROON DR, INDIO, CA 92201",234 E 47Th St,Long Beach, (310) 428-0633,CA,90805
GRANDVIEW MOBILEHOME PARK,LOS ANGELES,19-1062-MP,"4071 Grandview Blvd, Los Angeles, Ca 90066, (310) 559-2671","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",24.0,0.0,0.0,"MATSUAOKA, ROY, 4080 HURON AVE, CULVER CITY, CA 90232",4071 Grandview Blvd,Los Angeles, (310) 559-2671,CA,90066
BRADBURY VISTA MHP,LOS ANGELES,19-1063-MP,"1030 Bradbourne Ave, Duarte, Ca 91008, (310) 390-4604","COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",44.0,0.0,0.0,"DUARTE HOME PARK LLC, 19 ALLYSSUM, RANCHO SANTA MARGARITA, CA 92688",1030 Bradbourne Ave,Duarte, (310) 390-4604,CA,91008
BIGS MHP INC,LOS ANGELES,19-1093-MP,"1461 W Mission Blvd, Pomona, Ca 91766, (714) 974-0397","COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",113.0,0.0,0.0,"BIG S PARTNERS, 22880 SAVI RANCH PARKWAY, YORBA LINDA, CA 92887",1461 W Mission Blvd,Pomona, (714) 974-0397,CA,91766
ROSE VILLA MHP,LOS ANGELES,19-1094-MP,"1329 W Mission Blvd, Pomona, Ca 91766, (626) 377-0638","COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",34.0,0.0,0.0,"YANG, WAYNE, PO BOX 3363, CITY OF INDUSTRY, CA 91744",1329 W Mission Blvd,Pomona, (626) 377-0638,CA,91766
POMONA MOBILE ESTATES,LOS ANGELES,19-1095-MP,"1052 E Mission Blvd., Pomona, Ca 91766, (909) 720-4649","COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",71.0,0.0,0.0,"WUO, KATHY, PO BOX 734, CORONA DEL MAR, CA 92625",1052 E Mission Blvd.,Pomona, (909) 720-4649,CA,91766
HI FI MH PLAZA,LOS ANGELES,19-1096-MP,"1010 W Holt Blvd, Pomona, Ca 91768, (909) 629-6907","COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",98.0,0.0,0.0,"APPEL, ALBERT, 3771 SEASCAPE DR, HUNTINGTON BEACH, CA 92649",1010 W Holt Blvd,Pomona, (909) 629-6907,CA,91768
WOODLAWN MOBILE HOME PARK,LOS ANGELES,19-1098-MP,"1096 E Mission Blvd, Pomona, Ca 91765, (626) 387-9886","COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",31.0,0.0,0.0,"MISSION TRUST/INCOME ESTATES LLC, 449 W. FOOTHILL BLVD. STE. 149, GLENDORA, CA 91741",1096 E Mission Blvd,Pomona, (626) 387-9886,CA,91765
THUNDERBIRD MP,LOS ANGELES,19-1099-MP,"1761 E Mission Blvd, Pomona, Ca 91766, (909) 720-4649","COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",61.0,0.0,0.0,"WUO, KATHY, PO BOX 734, CORONA DEL MAR, CA 92625",1761 E Mission Blvd,Pomona, (909) 720-4649,CA,91766
VALLEY CENTER TRAILER ESTATES,LOS ANGELES,19-1100-MP,"1111 Price Ave, Pomona, Ca 91767, (909) 469-2798","COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",59.0,0.0,0.0,"STEEN, DICK, 1635 AVIATION BLVD, REDONDO BEACH, CA 90278",1111 Price Ave,Pomona, (909) 469-2798,CA,91767
LOS AMIGOS MOBILE ESTATES,LOS ANGELES,19-1101-MP,"20806 S Gridley Rd, Lakewood, Ca 90715, (310) 860-0205","COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",71.0,0.0,0.0,"THE MARY MITSUUCHI TRUST, C/O LES FRAME MANAGEMENT, INC 1635 AVIATION BLVD, REDONDO BEACH, CA 90278",20806 S Gridley Rd,Lakewood, (310) 860-0205,CA,90715
PACIFIC PALISADES BOWL MOBILE ESTATES,LOS ANGELES,19-1103-MP,"16321 Pacific Coast Hwy, Pacific Palisades, Ca 90272, (310) 454-2515","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",173.0,0.0,0.0,"PACIFIC PALISADES BOWL MOBILE ESTATES, 4341 ABERNATHY RD., FAIRFIELD, CA 94534",16321 Pacific Coast Hwy,Pacific Palisades, (310) 454-2515,CA,90272
SIERRA SPRINGS VILLAGE DE LLC,LOS ANGELES,19-1104-MP,"7560 Woodman Pl, Van Nuys, Ca 91405, (818) 785-6266","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",148.0,0.0,0.0,"WILLIAMSON, DANIEL, PO BOX 13643, CHANDLER, AZ 85248",7560 Woodman Pl,Van Nuys, (818) 785-6266,CA,91405
TAHITIAN TERRACE,LOS ANGELES,19-1105-MP,"16001 Pacific Coast Hwy, Pacific Palisades, Ca 90272, (310) 454-7557","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",158.0,0.0,0.0,"AZUL PACIFICO INC, 16001 PACIFIC COAST HWY, PACIFIC PALISADES, CA 90272",16001 Pacific Coast Hwy,Pacific Palisades, (310) 454-7557,CA,90272
SHELTER ISLE MOBILE ESTATES,LOS ANGELES,19-1107-MP,"10965 Glenoaks, Pacoima, Ca 91331, (818) 896-1400","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",260.0,0.0,0.0,"HELMS-HOWARD INC, 127 W. ORTEGA STREET, SANTA BARBARA, CA 93101",10965 Glenoaks,Pacoima, (818) 896-1400,CA,91331
TAHITIAN MHP,LOS ANGELES,19-1108-MP,"15445 Colbalt Ave, Sylmar, Ca 91342, (818) 367-7100","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",236.0,0.0,0.0,"TAHITIAN PARTNERS LLC, 320 N PARK VISTA STREET, ANAHEIM, CA 92806",15445 Colbalt Ave,Sylmar, (818) 367-7100,CA,91342
SUNBURST MOBILE HOME ESTATES,LOS ANGELES,19-1109-MP,"21001 Plummer St, Chatsworth, Ca 91311, (818) 341-3737","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",118.0,0.0,0.0,"BROTT, JAMES, 6255 N. SHERIDAN RD #33, CHICAGO, IL 60660",21001 Plummer St,Chatsworth, (818) 341-3737,CA,91311
ARROW MOBILE HOMEPARK,LOS ANGELES,19-1116-MP,"1523 W 259Th St, Harbor City, Ca 90710, (310) 207-1600","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",15.0,0.0,0.0,"HELENA, FONTAINE, 1523 W. 259TH ST. SPACE # B9, HARBOR CITY, CA 90710",1523 W 259Th St,Harbor City, (310) 207-1600,CA,90710
AAA TRAILER HOME ESTATES,LOS ANGELES,19-1128-MP,"660 San Fernando Rd, Los Angeles, Ca 90065, (213) 221-0100","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",27.0,0.0,0.0,"AAA ASSOCIATES LLC, 2708 WILSHIRE BLVD SUITE # 465, SANTA MONICA, CA 90403",660 San Fernando Rd,Los Angeles, (213) 221-0100,CA,90065
EAGLE ROCK SPRINGS,LOS ANGELES,19-1131-MP,"5051 Argus Dr, Los Angeles, Ca 90041, (213) 255-0626","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",31.0,0.0,0.0,"EAGLE ROCK SPRING LLC, 1860 E HORSESHOE DR, CHANDLER, AZ 85249",5051 Argus Dr,Los Angeles, (213) 255-0626,CA,90041
ELM LANE TP,LOS ANGELES,19-1136-MP,"7337 Ethel Ave, North Hollywood, Ca 91605, (408) 254-3698","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",35.0,0.0,0.0,"VU, LIEN, 3483 CANYON CREEK DR, SAN JOSE, CA 95132",7337 Ethel Ave,North Hollywood, (408) 254-3698,CA,91605
HOLLYWOOD BACKLOT BUNGALOWS,LOS ANGELES,19-1137-MP,"8250 Lankershim Blvd, North Hollywood, Ca 91605, (818) 358-5019","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",196.0,0.0,0.0,"8250 LANKERSHIM OWNER LLC, 484 S SAN VICENTE BLVD, LOS ANGELES, CA 90048",8250 Lankershim Blvd,North Hollywood, (818) 358-5019,CA,91605
NORTHRIDGE MHP,LOS ANGELES,19-1142-MP,"19120 Nordhoff St, Northridge, Ca 91324, (818) 349-2331","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",168.0,0.0,0.0,"A SHERMAN TRUST, PO BOX 11044 MARINA DEL REY, MARINA DEL REY, CA 90295",19120 Nordhoff St,Northridge, (818) 349-2331,CA,91324
GLENOAKS MOBILEHOME PARK,LOS ANGELES,19-1150-MP,"10471 Glenoaks Blvd, Pacoima, Ca 91331, (818) 896-7172","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",70.0,0.0,0.0,"GLENOAKS MHP, LLC, PO BOX 15274, NEWPORT BEACH, CA 92659",10471 Glenoaks Blvd,Pacoima, (818) 896-7172,CA,91331
SHADOW HILLS TP,LOS ANGELES,19-1153-MP,"12600 Van Nuys Blvd, Pacoima, Ca 91331, (818) 896-7161","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",96.0,0.0,0.0,"J&H ASSET PROPERTY MANAGEMENT, 22880 SAVI RANCH PARKWAY, YORBA LINDA, CA 92887",12600 Van Nuys Blvd,Pacoima, (818) 896-7161,CA,91331
PARK ESTATES MHP,LOS ANGELES,19-1156-MP,"12301 San Fernando Rd, Sylmar, Ca 91342, (818) 367-2967","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",89.0,43.0,0.0,"BLACK BEAR LLC, 1048 IRVINE AVENUE #309, NEWPORT BEACH, CA 92660",12301 San Fernando Rd,Sylmar, (818) 367-2967,CA,91342
METROLINK M.H.P.,LOS ANGELES,19-1158-MP,"12245 San Fernando Rd, Sylmar, Ca 91342, (818) 336-6555","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",38.0,0.0,0.0,"MILANA IX, LLC, PO BOX 915, TUSTIN, CA 92781",12245 San Fernando Rd,Sylmar, (818) 336-6555,CA,91342
